signal_date,ticker,code,name,market,day0_price,lot_cost,ignition_score,ignition_signal_count,day0_ret_5,day0_ret_20,day0_ret_60,day0_volume_ratio_5,day0_distance_to_high_60,d1_return,d3_return,d5_return,d10_return,d20_return,latest_return,latest_price,trading_days_since_signal
2026-09-17,1560.TW,1560,中砂,TWSE,815.0,815000.0,92.895958986731,7,0.11186903137789894,0.167621776504298,0.1239241863603695,1.871465593776753,0.03164556962025311,,,,,,0.0,815.0,0
2026-09-17,6199.TWO,6199,天品,TPEx,105.0,105000.0,90.52352231604343,6,0.07913665680098947,0.11583423700986106,0.050000000000000044,3.230955619178921,-0.014084507042253502,,,,,,0.0,105.0,0
2026-09-17,3311.TW,3311,閎暉,TWSE,37.0,37000.0,90.4792024735147,6,0.1616954334960239,0.16719240093068977,-0.004164523418642263,14.977639923805151,-0.041450739310101126,,,,,,0.0,37.0,0
2026-09-17,3580.TWO,3580,友威科,TPEx,94.5999984741211,94599.9984741211,90.24487334137515,5,0.09744781697524418,0.20817362435591047,0.007917732448046833,3.765552920193292,-0.06798031059979215,,,,,,0.0,94.5999984741211,0
2026-09-17,6706.TW,6706,惠特,TWSE,145.0,145000.0,90.24240048250904,5,0.15999999999999992,0.23931623931623935,-0.06451612903225812,9.585419441163278,-0.06451612903225812,,,,,,0.0,145.0,0
2026-09-16,7765.TW,7765,中華資安,TWSE,240.0,240000.0,92.45158343483556,7,0.0983981693363844,0.0810810810810811,0.0738255033557047,20.420733922364068,0.0,-0.03749999999999998,,,,,-0.03749999999999998,231.0,1
2026-09-16,2453.TW,2453,凌群,TWSE,55.29999923706055,55299.99923706055,91.78136419001218,7,0.0655105512759244,0.0758754395993173,0.0170056296539915,6.359518589408967,0.0,-0.01265824181911257,,,,,-0.01265824181911257,54.599998474121094,1
2026-09-15,6689.TW,6689,伊雲谷,TWSE,69.30000305175781,69300.00305175781,95.2972773028268,6,0.1360656237993083,0.151162826802164,0.0802307669346009,26.71273816734247,-0.0170212333083997,-0.03318907576439811,,,,,-0.054834096456239934,65.5,2
2026-09-15,6690.TWO,6690,安碁資訊,TPEx,183.5,183500.0,94.74118037828237,6,0.1327160493827159,0.1292307692307692,0.09965633727758,22.25529176461636,-0.0239361702127659,-0.013623978201634857,,,,,-0.02997275204359673,178.0,2
2026-09-15,4915.TW,4915,致伸,TWSE,65.5999984741211,65599.9984741211,92.95858524788392,5,0.0842974954400181,0.1043770503194518,-0.0698343398029958,3.378520914163669,-0.0698343398029958,0.0,,,,,-0.025914588228425517,63.900001525878906,2
2026-09-15,3029.TW,3029,零壹,TWSE,118.5,118500.0,92.7533252720677,7,0.0627802690582959,0.1023255813953487,0.1861861680683036,6.908944819675268,0.0171673819742488,0.00843881856540074,,,,,-0.021097046413502074,116.0,2
2026-09-14,6112.TW,6112,邁達特,TWSE,50.599998474121094,50599.998474121094,95.00393462469734,7,0.1182320104778142,0.110867164031734,0.1583227953748076,7.39674793228292,0.078891190359569,-0.04841891348070326,-0.03656123576895476,,,,-0.03656123576895476,48.75,3
2026-09-14,2801.TW,2801,彰銀,TWSE,28.549999237060547,28549.999237060547,93.91374092009686,7,0.0773584617758698,0.2021052310341282,0.3237641420905066,1.8828817229466648,0.023297477685217,-0.019264422128130843,0.036777624254580754,,,,0.036777624254580754,29.600000381469727,3
2026-09-14,5209.TWO,5209,新鼎,TPEx,173.0,173000.0,93.4229694034779,7,0.1233766233766233,0.0679012345679013,0.0720966858103588,6.585936812461498,0.0028985507246377,-0.0028901734104046506,0.01734104046242768,,,,0.01734104046242768,176.0,3
2026-09-14,4961.TW,4961,天鈺,TWSE,178.0,178000.0,93.09503631961256,7,0.0755287009063443,0.0787878787878788,0.0520395506140034,3.111253036595033,0.0028169014084507,0.002808988764045006,0.016853932584269593,,,,0.016853932584269593,181.0,3
