ticker,price,history_days,ret_5,ret_10,ret_20,ret_60,ret_120,ret_252,above_ma_20,above_ma_60,above_ma_120,avg_turnover_20,volume_ratio_5,volume_ratio_20,breakout_60,distance_to_high_60,breakout_120,momentum_shift_5_20,momentum_shift_20_60,volatility_20,max_drawdown_60,breakout_momentum_score,volume_surge_score,breakout_price_score,momentum_shift_score,breakout_score,code,name,market,lot_cost
2305.TW,54.29999923706055,486,0.4103895905730013,0.8039866627539618,1.0451977701477446,0.436507945318231,2.138728418018514,3.524999936421712,0.5606811499494606,0.6299779629569096,1.0093436038560224,697541939.2955481,5.719199507033578,2.4522230445673157,0.09919023400464289,0.09919023400464289,0.09919023400464289,0.14909014803606513,0.8996951217083343,0.7743543182115801,-0.3903868916810266,98.50422195416164,95.88057901085647,99.63811821471653,99.40289505428228,98.20989143546443,2305,全友,TWSE,54299.99923706055
6218.TWO,56.0,486,0.2134344127507264,0.31455403769601586,0.4736842105263157,0.39476956094023774,1.1455938383724487,1.7586207933330362,0.27121049409130005,0.46744116000817937,0.5021123516338823,205157244.97467613,4.325678667631382,7.01795325695745,0.03512017706964965,0.03512017706964965,0.03512017706964965,0.09501336011914746,0.3420943568795698,0.5894074646846729,-0.22576365372803808,96.73703256936066,98.01568154402895,98.33534378769602,97.08082026537998,97.4279252110977,6218,豪勉,TPEx,56000.0
6226.TW,43.849998474121094,486,0.3450920406922904,0.3703124523162842,0.993181748823686,1.6415661124363607,2.609053485667962,5.056629814968735,0.3794730111699347,0.7393315852185336,1.299171925170839,748091589.5061289,1.902035600418605,1.2502143871084352,0.09899741346326119,0.09899741346326119,0.09899741346326119,0.09679660348636887,0.4459930446782324,1.1712259959491582,-0.3525179678421012,99.72255729794934,85.21712907117009,99.51749095295537,97.90711700844392,95.78287092882992,6226,光鼎,TWSE,43849.998474121094
3467.TWO,73.5,486,0.3789868865306474,0.4189189398175528,0.6065573770491803,0.17854303172611163,0.570558420239089,0.4826071148672124,0.3605442215299657,0.40471857499494934,0.2965720898080546,27871195.800649263,21.548275359939026,5.098092704737111,0.02653633472584005,0.02653633472584005,-0.043479245116664456,0.2273475422683523,0.5470430331404764,0.6044458431778722,-0.3023745423667812,92.49095295536792,98.81182147165259,92.76236429433052,99.67430639324488,95.20295536791315,3467,台灣精材,TPEx,73500.0
1709.TW,42.95000076293945,486,0.21671392892970287,0.28400597259553484,0.4602517582645975,1.0675525790499134,1.4310784004449708,1.6573950031249352,0.21881042316120247,0.49495632643340537,0.81102831715852,580134293.478256,1.253202144166274,2.4180587055701235,0.0998720000531419,0.0998720000531419,0.0998720000531419,0.10165098936355349,0.10440089858129303,0.9615728862485966,-0.19750895875894192,98.22677925211099,87.12303980699639,99.87937273823884,88.7696019300362,94.3627864897467,1709,和益,TWSE,42950.00076293945
3441.TWO,192.5,486,0.2748344370860927,0.48076923076923084,0.9784172041351473,1.0743533800600846,5.379908240978625,4.579006906274641,0.35587251276633225,0.942547679718762,1.6194054346596571,3149375010.425,1.9332125868124854,1.1004235479006974,0.034946236559139754,0.034946236559139754,0.034946236559139754,0.030230136052305845,0.6202994107817859,0.9659558731007043,-0.23803825447845928,99.58383594692401,83.34740651387214,98.21471652593486,91.22436670687576,93.99698431845597,3441,聯一光,TPEx,192500.0
6227.TWO,137.5,486,0.18534482758620685,0.2168141592920354,0.21125109137538067,0.17635908820682777,0.6523424657257944,0.5188909021954407,0.15812928986947838,0.192429897593561,0.24457601360474213,171916901.2088684,6.943399924469039,2.8672508447079337,0.03383458646616533,0.03383458646616533,0.03383458646616533,0.13253205474236168,0.15246472863977142,0.6702521457189936,-0.1606425876768991,89.33051869722557,96.58624849215923,98.021712907117,93.50422195416164,93.50874547647769,6227,茂綸,TPEx,137500.0
7799.TW,502.0,246,0.18117647058823527,0.42613636363636354,0.32279314888010546,0.27735368956743,0.27735368956743,,0.28487330432556957,0.2904884318766068,0.3473495862223217,238510927.2,3.72028801311047,1.7687369584574775,0.07725321888412018,0.07725321888412018,0.07725321888412018,0.1004781833682089,0.23034191902429546,0.7510922418181468,-0.2703862660944206,89.66827503015682,92.52110977080821,98.89022919179735,95.4885404101327,93.09891435464417,7799,禾榮科,TWSE,502000.0
6957.TW,274.0,486,0.22048997772828516,0.25977011494252866,0.271461716937355,0.471656848034155,0.7788250948088167,0.6744951485245643,0.204660364915366,0.26171810594687894,0.445772471748237,33725321.3,4.3691914577938356,1.1427255527094617,0.05996131528046411,0.05996131528046411,0.05996131528046411,0.1526245484939464,0.11424276759263666,0.38361667299668706,-0.17786557091844746,94.48130277442702,86.9481302774427,98.7696019300362,91.4475271411339,93.0006031363088,6957,裕慶-KY,TWSE,274000.0
6168.TW,35.349998474121094,486,0.1862415899044163,0.28079702846144206,0.41399993896484366,0.077743880987025,0.4282827666311553,0.5959367531793522,0.21592564890316313,0.31315001699195877,0.30730228404882665,238620011.84796286,2.2847668083592256,4.4084139758152086,0.077743880987025,0.077743880987025,-0.004225395095180495,0.08274160516320539,0.3880853119691687,0.6167854520696041,-0.36231884948236215,86.55609167671894,95.21712907117008,96.74306393244873,97.05066344993969,92.3329312424608,6168,宏齊,TWSE,35349.998474121094
6870.TWO,322.0,486,0.12390924956369975,0.11805555555555558,0.23371647509578541,0.3153328969790141,0.8780606626301333,0.6875969899206855,0.1300228110194772,0.20260383838355978,0.37541038946999183,38245967.375,3.4530823976653835,2.0359855534733273,-0.021276595744680882,-0.021276595744680882,-0.021276595744680882,0.0654801307897534,0.12860550943611404,0.6101044377772369,-0.24917344761404125,92.72617611580218,93.34137515078407,89.02291917973461,89.25211097708082,91.61821471652593,6870,騰雲,TPEx,322000.0
8103.TW,132.0,486,0.19999999999999996,0.09090909090909083,0.43634382816445316,0.2966047870234483,0.6149880263248169,1.1909783229139,0.1479758244568179,0.4019404788898677,0.36796183983902675,712389193.5604492,0.8741175043522884,5.050291707656201,0.04347826086956519,0.04347826086956519,0.04347826086956519,0.09091404295888666,0.33747556582330374,0.7577362467648514,-0.3349989384502753,93.9384800965018,78.54041013268997,98.57659831121833,96.96019300361883,91.4698431845597,8103,瀚荃,TWSE,132000.0
6426.TW,363.0,486,0.1273291925465838,0.36723163841807915,0.4546939006127009,0.6994087750233378,1.3387361511666955,3.7663624540861127,0.2742002348245314,0.6540934776788061,0.6302584626652845,1008192344.9470886,0.9864066013664047,2.4335066240127188,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.013655717393408595,0.22155764227158828,0.7837768380509715,-0.3159203647121439,97.45476477683957,81.20627261761157,100.0,80.47647768395657,91.35494571773222,6426,統新,TWSE,363000.0
2221.TWO,116.0,486,0.20207253886010368,0.26775956284153013,1.1362799563508705,1.491640766619014,2.8088776308648225,3.233584363610924,0.3705103975931101,0.9145346815592599,1.3402248702747763,443247238.95699346,2.7359198152494515,15.03242260790724,0.09952606635071093,0.09952606635071093,0.09952606635071093,-0.08199745022761395,0.6390663674778658,0.8442723691146762,-0.2791096340046286,99.62002412545235,96.77925211097707,99.75874547647769,48.220747889022924,91.2276839565742,2221,大甲,TPEx,116000.0
6133.TW,26.049999237060547,486,0.1787329768058643,0.14351616874038498,0.22611783125564466,0.19378066734127497,0.18337731888053077,0.5694748522307991,0.14704337743566942,0.19217415820935924,0.18997125616808264,47248231.869385436,4.11356806200724,3.1893588290028285,-0.01241786178667903,-0.01241786178667903,-0.01241786178667903,0.12220351899195314,0.1615242754752197,0.5056315718785458,-0.3109091087892679,85.30759951749094,96.50784077201448,90.83232810615199,93.72738238841978,90.47557297949336,6133,金橋,TWSE,26049.999237060547
2033.TW,30.850000381469727,486,0.11775362156088987,0.2074364502023731,0.35604397281185607,0.8810976279909466,0.9839228297791947,0.6950548949585424,0.20649200311074623,0.5570323229820042,0.7334301304097175,41281626.12550058,1.119231198972362,1.8407184273949646,0.08626763365661771,0.08626763365661771,0.08626763365661771,0.028742628357925848,0.062344763481540555,0.8489137095762795,-0.11782470969691483,96.10977080820265,82.58745476477684,99.20386007237636,75.54885404101327,90.26387213510255,2033,佳大,TWSE,30850.000381469727
3094.TW,47.0,486,0.12171833623851191,0.11111113115154891,0.3091921449117361,0.08545036554579455,1.0480177022806711,0.8625674193771733,0.13485452235400852,0.2123296473068772,0.3595963016148973,289276132.4160185,1.161120254829005,3.554771616853353,0.010752688172043001,0.010752688172043001,0.010752688172043001,0.044420300010577896,0.28070868972980456,0.7115841844321124,-0.2832168087115233,88.6972255729795,87.00241254523522,95.60916767189384,92.5814234016888,90.2385404101327,3094,聯傑,TWSE,47000.0
