ticker,price,history_days,ret_5,ret_10,ret_20,ret_60,ret_120,ret_252,above_ma_20,above_ma_60,above_ma_120,avg_turnover_20,volume_ratio_5,volume_ratio_20,breakout_60,distance_to_high_60,breakout_120,momentum_shift_5_20,momentum_shift_20_60,volatility_20,max_drawdown_60,momentum_score,trend_score,liquidity_score,risk_score,score,code,name,market,lot_cost
2883.TW,39.29999923706055,486,0.03014410655793931,0.0536193040457984,0.23974758016429676,0.36933791610935973,1.0541277568749092,1.675771558694497,0.06953324129716587,0.210627621412119,0.41596733265987407,1853329199.9242382,1.1523124053830835,1.1353958887164235,-0.028430197878575703,-0.028430197878575703,-0.028430197878575703,-0.02979278848313488,0.11663494146117685,0.27328515265792724,-0.06158831750522509,88.96158463385353,89.59583833533414,86.91476590636255,84.63385354141656,88.1639655862345,2883,凱基金,TWSE,39299.99923706055
3441.TWO,181.0,486,0.06784660766961648,0.3712121212121211,0.5877192982456141,1.2625000000000002,5.118546813564205,4.291002397607678,0.18688524590163924,0.7375999978789063,1.34194463265503,2639020699.0,0.745090186093457,0.7393597365322824,-0.05974025974025976,-0.05974025974025976,-0.05974025974025976,-0.07908321689178704,0.1668859649122807,0.9973129224585976,-0.2037499904632568,98.84753901560623,98.43937575030013,89.79591836734694,33.13325330132052,87.53061224489797,3441,聯一光,TPEx,181000.0
5274.TWO,20905.0,486,0.1932077625570776,0.08766909469302808,0.3574675324675325,0.3940891591820308,1.0416758346330623,3.7829319910770467,0.1661831975900927,0.30288579720751985,0.34735223405017224,5489890412.75,0.6726394089982712,1.3293202064898675,0.05474268415741679,0.05474268415741679,0.05474268415741679,0.10384087944019449,0.22610447940685555,0.5792724493026031,-0.19994364436495693,93.67947178871549,94.437775110044,93.51740696278512,46.33853541416566,86.74359743897558,5274,信驊,TPEx,20905000.0
3443.TW,8375.0,486,0.3877381938690969,0.4052013422818792,0.5035906642728905,0.7285861713106294,2.5724647778342224,5.009396514098055,0.32862695327992375,0.6249514939852541,0.7669921023066175,11689027604.5,1.0149445380611832,0.8206768404901547,0.09980302035456345,0.09980302035456345,0.09980302035456345,0.2618405278008743,0.2607286071693473,0.7220715713173285,-0.3818011257035647,98.57142857142856,98.95958383353342,98.31932773109243,16.146458583433372,86.26690676270508,3443,創意,TWSE,8375000.0
2454.TW,5180.0,486,0.16930022573363424,0.0997876857749469,0.38688085676037476,0.22755007912406722,2.5569625781192435,2.517857154700108,0.15903115735302342,0.2807567585989963,0.40191117069121307,35236006766.5,1.1752010380675353,0.9457759273070644,0.03393213572854292,0.03393213572854292,0.03393213572854292,0.07258001154354055,0.3110308303856857,0.5867436934597032,-0.2706971561801498,93.19327731092437,94.7579031612645,99.87995198079231,36.97478991596638,86.1546618647459,2454,聯發科,TWSE,5180000.0
2887.TW,42.900001525878906,486,-0.011520736922137065,0.0023365021168451072,0.15477792096440468,0.3416796965502562,0.8549210098337727,1.593654137412277,0.030135700583575398,0.1539879468069587,0.37722196961883236,2715085529.7395883,1.2448755237471,1.1690918871893612,-0.033783782622748615,-0.033783782622748615,-0.033783782622748615,-0.050215217163238235,0.040884688780985945,0.2873316352511543,-0.08005207146402604,86.52460984393757,82.75310124049619,90.03601440576232,81.15246098439376,85.30262104841935,2887,台新新光金,TWSE,42900.001525878906
6538.TWO,445.5,486,0.2205479452054795,0.3878504672897196,1.167883211678832,2.400763358778626,5.222421895479859,4.447441135667206,0.4143979680927057,1.1645477366588386,1.952979365061689,660846767.625,0.8491401435612519,0.7262279930082723,0.04454865181711609,0.04454865181711609,0.04454865181711609,-0.07142285771422852,0.36762875875262335,0.9476690412108634,-0.2467948717948718,99.18367346938776,99.75990396158464,74.30972388955583,28.031212484993997,84.92376950780313,6538,倉和,TPEx,445500.0
3605.TW,171.5,486,0.3450980392156864,0.38306451612903225,0.4721030042918455,1.233167555856638,2.079004482728817,1.1292994302695427,0.29948853949611665,0.5803065898002455,0.8699470861179956,2842281896.5,2.877967727454384,1.759123029972805,0.014792899408283988,0.014792899408283988,0.014792899408283988,0.227072288142725,0.061047152339632815,0.934802040195842,-0.17803030303030298,91.26050420168066,98.83953581432574,90.51620648259305,36.8547418967587,84.88275310124048,3605,宏致,TWSE,171500.0
2221.TWO,154.0,486,0.6024974239876901,0.7948717310313074,1.2882614118392328,2.3009910125453463,4.121860091108321,4.551666579112898,0.599086237703137,1.3563886257435969,1.943003552670762,544007737.6146915,1.7761582062182837,9.819941607478533,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.2804320710278819,0.5212644076574507,0.8882512308219761,-0.2791096340046286,99.19567827130852,99.95998399359745,71.54861944777912,25.210084033613445,84.14185674269709,2221,大甲,TPEx,154000.0
2455.TW,547.0,486,0.05192307692307696,0.062135922330097015,0.3039332538736592,0.5763688760806915,1.0899991441357089,2.441967233891789,0.06575742815392105,0.3608375660827201,0.43943885570834684,6970251107.25,1.8759649393621824,1.2691146268190423,-0.04370629370629375,-0.04370629370629375,-0.04370629370629375,-0.024060236545337843,0.11181029518009536,0.6556511776963374,-0.2594142259414226,92.62304921968787,91.39655862344938,95.07803121248499,34.45378151260505,83.95928371348539,2455,全新,TWSE,547000.0
