ticker,price,history_days,ret_5,ret_10,ret_20,ret_60,ret_120,ret_252,above_ma_20,above_ma_60,above_ma_120,avg_turnover_20,volume_ratio_5,volume_ratio_20,breakout_60,distance_to_high_60,breakout_120,momentum_shift_5_20,momentum_shift_20_60,volatility_20,max_drawdown_60,momentum_score,trend_score,liquidity_score,risk_score,score,code,name,market,lot_cost
2883.TW,39.349998474121094,487,0.005108478683199635,0.07074825779921334,0.22015499144561534,0.390459347524996,1.0464056353809492,1.6703915343696192,0.06064685368783729,0.2053297451342102,0.40925501666482833,1819064955.1836243,1.108284999278337,1.0963714615074565,-0.02719412282004674,-0.02719412282004674,-0.02719412282004674,-0.0499302691782042,0.09000187560395001,0.27424376610961126,-0.06158831750522509,89.04561824729892,88.67547018807524,86.91476590636255,84.27370948379351,87.91766706682672,2883,凱基金,TWSE,39349.998474121094
3441.TWO,177.5,487,-0.045698924731182755,0.23693379790940772,0.41999999999999993,1.2992228888169874,5.070941747255502,4.1516279801000975,0.14423851732473802,0.6770861190946549,1.260521062821331,2570388258.2,0.5457448204641716,0.7963347438327821,-0.07792207792207795,-0.07792207792207795,-0.07792207792207795,-0.15069892473118274,-0.0130742962723292,0.9719798467903102,-0.2037499904632568,98.69147659063626,97.27891156462584,89.4357743097239,33.25330132052821,87.13425370148059,3441,聯一光,TPEx,177500.0
3443.TW,8385.0,487,0.3589951377633711,0.4151898734177215,0.3689795918367347,0.662041625371655,2.630689761030671,5.08173295503594,0.3067871892776435,0.6095079659607139,0.7504041465927387,11907486586.75,1.13484935651038,0.8240490537293529,0.0011940298507462366,0.0011940298507462366,0.0011940298507462366,0.26675023980418744,0.14829905004618302,0.663013878504946,-0.3818011257035647,98.36734693877551,98.83953581432571,98.19927971188476,18.18727490996399,86.43317326930772,3443,創意,TWSE,8385000.0
2454.TW,5185.0,487,0.14459161147902866,0.12108108108108118,0.31432192648922697,0.20322493762003058,2.560395939681135,2.5685179830101137,0.14427586206896548,0.2773831711484396,0.3915621085375982,35036392562.75,1.150972628928062,0.9744188103810276,0.0009652509652509078,0.0009652509652509078,0.0009652509652509078,0.06601112985672192,0.24658028061588344,0.5704536734648676,-0.2706971561801498,92.45498199279712,93.87755102040815,99.87995198079231,38.055222088835535,85.76440576230492,2454,聯發科,TWSE,5185000.0
3605.TW,180.0,487,0.2857142857142858,0.38996138996139007,0.6071428571428572,1.133012586811716,2.0380345365350894,1.2458286515410029,0.32963988919667586,0.6346281957107289,0.9413269556158919,3087793983.5,2.8958218376629863,1.8701067365153476,0.04956268221574334,0.04956268221574334,0.04956268221574334,0.1339285714285715,0.2294719948722852,0.9121185483145215,-0.17803030303030298,91.89675870348138,99.23969587835136,90.63625450180072,37.09483793517407,85.32312925170066,3605,宏致,TWSE,180000.0
5274.TWO,20280.0,487,0.11123287671232873,0.09002956194571343,0.29254302103250485,0.3011373874748786,0.9170993591888752,3.6018254870378987,0.11701688193660331,0.25780087918884664,0.30029489381037533,5550289942.0,0.742176177430364,1.370280985844409,-0.02989715379095914,-0.02989715379095914,-0.02989715379095914,0.03809712145420252,0.19216389187421196,0.6015282138906521,-0.19994364436495693,91.86674669867946,91.67667066826732,93.51740696278512,44.777911164465785,85.00350140056024,5274,信驊,TPEx,20280000.0
2221.TWO,158.5,487,0.5023696682464456,0.8052391172078295,1.2198879077411746,2.383380487787003,4.271524834030317,4.713890602528535,0.5746075922935232,1.3580998690909452,1.9682889136779171,696575448.6805931,2.105455559714234,10.007272450827328,0.02922077922077926,0.02922077922077926,0.02922077922077926,0.19739769131115192,0.42542774514550696,0.8872322202942445,-0.2791096340046286,99.23169267707082,100.0,75.39015606242498,25.09003601440576,84.72629051620648,2221,大甲,TPEx,158500.0
2887.TW,42.95000076293945,487,-0.03265767371864414,0.012971679652531432,0.1453333536783854,0.33921569583678224,0.8342030758142951,1.581667342326643,0.024631727804536707,0.14972532159944318,0.3716590803966664,2707952598.9789147,1.1611170419685777,1.214177528900134,-0.03265767371864414,-0.03265767371864414,-0.03265767371864414,-0.06899101213824049,0.032261455066124656,0.288045316106414,-0.08005207146402604,86.47058823529412,80.83233293317326,90.15606242496999,80.43217286914766,84.70808323329332,2887,台新新光金,TWSE,42950.00076293945
6538.TWO,410.5,487,0.0788436268068331,0.17621776504297992,0.9363207547169812,1.890845070422535,4.7177730155400415,4.03163986868841,0.2634656817482304,0.9520507232019022,1.6710108091946116,691602444.125,1.0806707317566446,0.7308050941686365,-0.0785634118967452,-0.0785634118967452,-0.0785634118967452,-0.1552365618724122,0.30603906457613617,1.0386757235955704,-0.2467948717948718,98.8655462184874,99.15966386554622,75.03001200480192,27.43097238895558,84.64855942376951,6538,倉和,TPEx,410500.0
3653.TW,6410.0,487,0.2232824427480915,0.11284722222222232,0.11965065502183414,0.8969998479097343,0.738490397877422,1.574770284214261,0.12097232544921965,0.4053328040131394,0.49880296350299,6388077305.75,0.8465484559280592,0.6825389741686392,0.07011686143572615,0.07011686143572615,0.07011686143572615,0.19336977899263297,-0.1793492942814106,0.6276619549590992,-0.1549865229110512,87.12484993997597,95.35814325730291,94.47779111644657,47.89915966386555,84.40226090436174,3653,健策,TWSE,6410000.0
