ticker,price,history_days,ret_5,ret_10,ret_20,ret_60,ret_120,ret_252,above_ma_20,above_ma_60,above_ma_120,avg_turnover_20,volume_ratio_5,volume_ratio_20,breakout_60,distance_to_high_60,breakout_120,momentum_shift_5_20,momentum_shift_20_60,volatility_20,max_drawdown_60,ignition_short_momentum,ignition_volume,ignition_shift,ignition_price_position,late_chase_penalty,ignition_score,volume_surge_flag,early_price_flag,early_stage_flag,near_high_flag,not_extended_flag,momentum_shift_flag,breakout_flag,ignition_qualified,ignition_signal_count,code,name,market,lot_cost
6199.TWO,116.5,486,0.13658536585365844,0.20725388601036276,0.24332981637504258,0.14778325123152714,0.07870370370370372,-0.012711864406779627,0.17061897016367422,0.1691309316705054,0.17283847089454762,270155704.2110413,3.756326034913345,4.2485645804300365,0.017467248908296984,0.017467248908296984,0.004310344827586299,0.07575291175989779,0.1940687326312002,0.2914629147504705,-0.13333330467833038,90.65035799522673,94.74940334128878,82.84606205250597,96.30071599045345,1.3268292682926752,89.44972204435649,True,True,True,True,True,True,True,True,7,6199,天品,TPEx,116500.0
3580.TWO,101.5,486,0.15340909090909083,0.1871345029239766,0.3130659248750427,0.0695468742676606,0.47552903370419153,0.43637399728225135,0.15920511346138655,0.19910214939368176,0.14337946409552216,60306112.94108887,5.2734428906863045,2.15418067767911,0.0,0.0,-0.0898728006367151,0.07514260969033015,0.2898836334524892,0.49883926792894306,-0.3497536945812808,91.44391408114559,97.25536992840095,85.44749403341288,94.57040572792363,4.880034643353762,87.27718492705195,True,True,True,True,True,True,True,True,7,3580,友威科,TPEx,101500.0
8215.TW,28.350000381469727,486,0.15714287271305016,0.12723661278236054,0.1714875821361832,-0.05429410379909527,0.1909615837945,0.18604020781207153,0.09554634038301635,0.11256325507481035,0.06574256937035283,59762648.23916511,11.886717021541576,4.062336058209934,-0.05657234272053557,-0.05657234272053557,-0.11956522640523903,0.11427097717900436,0.18958561673588162,0.5761750013561293,-0.27373338784937107,88.11455847255371,99.16467780429595,88.84844868735084,72.43436754176611,2.9714298170440134,86.28960836911351,True,True,True,False,True,True,False,True,5,8215,明基材,TWSE,28350.000381469727
6133.TW,27.200000762939453,486,0.1851851790289727,0.15744684097614692,0.26595750158326426,0.2687895733978152,0.25198447397568335,0.6534954104208248,0.15108909112976643,0.22661596328930877,0.23398029729414338,87859123.19181928,7.196394065335209,5.836623132052611,-0.028571401323590928,-0.028571401323590928,-0.028571401323590928,0.11869580363315663,0.17636097711732585,0.546417073350828,-0.3109091087892679,91.78997613365156,98.56801909307876,88.81861575178998,84.1288782816229,5.773326877732065,86.15805737047796,True,True,True,True,True,True,False,True,6,6133,金橋,TWSE,27200.000762939453
4951.TWO,92.9000015258789,486,0.15835417781664995,0.1715006046751928,0.21279377776051378,-0.03530634909794894,0.417551031289505,0.29751636095806977,0.12996414017523783,0.13088115313984083,0.012216419660050715,38782320.5940731,6.102789025278136,2.3624532212516396,-0.06820457001511648,-0.06820457001511648,-0.3104626902251715,0.10515573337652151,0.22456256079316342,0.591187167624165,-0.2399172459194573,90.47136038186157,98.21002386634845,88.66945107398567,68.25775656324582,3.0683342253319967,85.94210730211431,True,True,True,False,True,True,False,True,5,4951,精拓科,TPEx,92900.0015258789
6667.TWO,263.5,486,0.11652542372881358,0.05400000000000005,0.20594965675057209,-0.016791044776119368,0.145450034956361,-0.049097788205857085,0.10516934046345816,0.10664706817373992,0.0649874307098175,110066647.85,2.973035693720046,2.5580456408276424,-0.027675276752767486,-0.027675276752767486,-0.06688679735674585,0.06503800954117056,0.2115466716759452,0.5711056328198103,-0.21586715867158668,81.05011933174224,92.00477326968974,79.43317422434367,84.7255369928401,0.0,84.48359188544153,True,True,True,True,True,True,False,True,6,6667,信紘科,TPEx,263500.0
2413.TW,53.0,486,0.0995850448357507,0.15342761958660645,0.23831777908321228,0.12394149395471077,0.07010003243350083,1.6940708801404352,0.10514518326588806,0.1953772074658593,0.126881370532975,334987639.7026871,4.100735628352479,7.536074347100818,-0.01851851851851849,-0.01851851851851849,-0.14220785025938187,0.04000560006494763,0.19700394776497535,0.7064894875301622,-0.2865979671802831,85.86515513126491,95.58472553699285,66.21121718377088,88.42482100238664,0.0,84.25149164677804,True,True,True,True,True,True,False,True,6,2413,環科,TWSE,53000.0
1727.TW,106.0,486,0.17647060815928617,0.16997794464949956,0.16100762822437997,0.1804008507539252,1.155959246108087,1.7869028944018859,0.11035458731164982,0.22101059762931152,0.26882417100825684,587701335.6942345,2.034614884117076,1.4085784593207051,0.0,0.0,0.0,0.13621870110319118,0.10087401130640491,0.6032705310309615,-0.386206904068369,89.92243436754177,85.79952267303102,84.86873508353221,94.57040572792363,4.517648652742894,83.60168308950054,True,True,True,True,True,True,True,True,7,1727,中華化,TWSE,106000.0
4770.TW,250.0,486,0.13636363636363646,0.06837606837606836,0.21065375302663436,0.16550116550116556,0.14155251141552516,-0.18887732185351824,0.08968072354800039,0.13015633829346385,0.11045306485045892,186358922.925,2.191004090238648,2.819674379062263,-0.029126213592232997,-0.029126213592232997,-0.06015037593984962,0.08370019810697787,0.15548669785957916,0.6022288406933389,-0.11823647294589179,84.30190930787589,87.708830548926,82.5835322195704,83.83054892601432,1.3090909090909175,83.5145964417444,True,True,True,True,True,True,False,True,6,4770,上品,TWSE,250000.0
3066.TWO,28.049999237060547,486,0.16149066998484773,0.17118990995881234,0.19361698881108702,0.1590908410224965,0.46093740221113344,0.7208589294461176,0.09946102682081714,0.157695578744107,0.257636009599568,54148232.78399076,3.625834363433805,2.712442748458376,-0.07119210170740542,-0.07119210170740542,-0.07119210170740542,0.11308642278207598,0.14058670847025487,0.7206895302985208,-0.3758278177064853,90.11336515513128,94.1527446300716,86.15751789976133,66.70644391408115,3.319253598787819,83.50592539882554,True,True,True,False,True,True,False,True,5,3066,李洲,TPEx,28049.999237060547
